,value
2025-09-30,26.9530319796267
2025-10-31,27.39527995393995
2025-11-30,28.165839036785496
2025-12-31,28.526408233916907
2026-01-31,30.43997230759558
2026-02-28,32.77474791117696
2026-03-31,34.49006356164837
2026-04-30,34.98860295572688
2026-05-31,34.54108948552877
2026-06-30,34.45115657136757
2026-07-31,33.63437878347547
2026-08-31,32.506446045825534
2026-09-30,29.40031835817153
2026-10-31,26.851644281042095
2026-11-30,25.816719107170368
2026-12-31,25.47362228379237
2027-01-31,25.674970018303984
2027-02-28,26.57503903999865
2027-03-31,28.717191091111058
2027-04-30,28.964233586366866
2027-05-31,27.50833171285643
2027-06-30,24.849236619343237
2027-07-31,21.5177206853798
2027-08-31,19.586293327479694
2027-09-30,19.232831647735942
2027-10-31,20.917887623989518
2027-11-30,23.115838475357663
2027-12-31,24.664081541617097
2028-01-31,26.217099734412585
2028-02-29,28.38824070514151
2028-03-31,30.514020742904115
2028-04-30,30.44329861228853
2028-05-31,28.956672513161134
2028-06-30,27.079036888537914
2028-07-31,27.35264771831669
2028-08-31,29.440150163619393
2028-09-30,29.735296939876953
2028-10-31,28.824407045073713
2028-11-30,27.37621977242365
2028-12-31,26.83763020715593
2029-01-31,28.449334505392507
2029-02-28,32.25219602349675
2029-03-31,34.82495670424591
2029-04-30,34.764057603633795
2029-05-31,31.128247035410865
2029-06-30,26.6731303480992
2029-07-31,22.093843284417076
2029-08-31,17.946863787775747
2029-09-30,14.48576993449117
2029-10-31,12.751705886604611
2029-11-30,11.343824181412
2029-12-31,10.0
2030-01-31,12.583609230925507
2030-02-28,15.362841273084939
2030-03-31,15.762031060153404
2030-04-30,16.945694590626594
2030-05-31,20.540115966125686
2030-06-30,21.18626769014137
2030-07-31,18.512300456270545
2030-08-31,15.636920335585824
2030-09-30,15.511678555808704
2030-10-31,15.674434721688888
2030-11-30,15.892887465799074
2030-12-31,17.994862950834
2031-01-31,21.523957182786425
2031-02-28,24.41479438729193
2031-03-31,26.019319489518864
2031-04-30,25.077238885502013
2031-05-31,22.7271820693838
2031-06-30,19.879678478857528
2031-07-31,17.260904196525797
2031-08-31,14.460655678479057
2031-09-30,12.75354204021273
2031-10-31,13.44885801797562
2031-11-30,15.503757353023111
2031-12-31,18.33579053202557
2032-01-31,21.383786868217282
2032-02-29,24.063549970038864
2032-03-31,25.200411306509373
2032-04-30,25.476243306008016
2032-05-31,24.7679099787289
2032-06-30,25.077768617966942
2032-07-31,26.310074308150888
2032-08-31,26.666649104175747
2032-09-30,25.22528723615951
2032-10-31,22.82972403055897
2032-11-30,23.162608211037448
2032-12-31,25.904886400887282
2033-01-31,29.634817957014203
2033-02-28,31.167818030887226
2033-03-31,32.431362869676406
2033-04-30,33.810082258737424
2033-05-31,32.78017100934744
2033-06-30,29.706554666625557
2033-07-31,26.63757600738471
2033-08-31,24.23284035669892
2033-09-30,22.332483212752454
2033-10-31,21.411062544409813
2033-11-30,21.680680252700327
2033-12-31,23.402735206222776
2034-01-31,27.48045999937457
2034-02-28,29.00064763661156
2034-03-31,28.693828638363357
2034-04-30,28.389268797260144
2034-05-31,27.95872428454388
2034-06-30,26.243563925628422
2034-07-31,21.889190612952948
2034-08-31,17.908880064069038
2034-09-30,17.44998978600141
2034-10-31,17.085999639962676
2034-11-30,17.94543842562473
2034-12-31,19.875134342646053
2035-01-31,22.234228085510615
2035-02-28,23.58234230257409
2035-03-31,24.023903526524002
2035-04-30,25.287276312962355
2035-05-31,26.383889453962617
2035-06-30,27.490327849420172
2035-07-31,28.29930640477407
2035-08-31,28.137431889631173
2035-09-30,28.997953648292032
2035-10-31,30.641411805998068
2035-11-30,33.19473915512192
2035-12-31,35.756896884299096
2036-01-31,38.29734187128821
2036-02-29,40.034397224474034
2036-03-31,42.139282863184704
2036-04-30,42.374129896221504
2036-05-31,41.72931851553309
2036-06-30,40.15352272591469
2036-07-31,38.9260958138843
2036-08-31,38.3881412469235
2036-09-30,39.63172062337025
2036-10-31,41.90269554710329
2036-11-30,42.472605612796045
2036-12-31,42.988816026365484
2037-01-31,43.551670184476784
2037-02-28,44.195083281009914
2037-03-31,46.632603822559986
2037-04-30,49.31025548211623
2037-05-31,49.30965409938027
2037-06-30,46.21624476589558
2037-07-31,42.48171620378987
2037-08-31,38.320208217208275
2037-09-30,34.612317781609235
2037-10-31,33.221641708434255
2037-11-30,35.14470134231629
2037-12-31,38.97178725800758
