,value
2009-08-01,97.42529641467087
2009-09-01,96.45569772466992
2009-10-01,93.06739135023678
2009-11-01,92.28837331547976
2009-12-01,96.28342557199306
2010-01-01,101.76109542799676
2010-02-01,109.6443214881075
2010-03-01,112.6451055099855
2010-04-01,115.13097070813554
2010-05-01,111.60574874517134
2010-06-01,109.16707938215343
2010-07-01,105.15118078793473
2010-08-01,98.33130692055954
2010-09-01,96.25329643727042
2010-10-01,92.7261481178667
2010-11-01,94.71363826902542
2010-12-01,98.38652421200338
2011-01-01,101.80832070882191
2011-02-01,110.22394496157118
2011-03-01,112.02144935743891
2011-04-01,114.37498823745537
2011-05-01,114.02174735565623
2011-06-01,110.3430623520599
2011-07-01,105.83077021794556
2011-08-01,99.35302903098116
2011-09-01,95.09314933806733
2011-10-01,94.4905635781872
2011-11-01,92.66507709423955
2011-12-01,96.85577505515384
2012-01-01,102.15460077529117
2012-02-01,107.85550634479698
2012-03-01,114.35980249129125
2012-04-01,113.13904188927988
2012-05-01,112.90392892976558
2012-06-01,112.64845659557214
2012-07-01,104.3874720578772
2012-08-01,101.62503113693421
2012-09-01,94.67251060213587
2012-10-01,94.83912488426473
2012-11-01,94.73970185233443
2012-12-01,99.67193384819883
2013-01-01,107.08061627491477
2013-02-01,106.99535915361525
2013-03-01,115.02910132493612
2013-04-01,116.02547120466456
2013-05-01,113.07195412645082
2013-06-01,107.7578842912231
2013-07-01,105.8442590154278
2013-08-01,99.69101458187237
2013-09-01,97.60509838486502
2013-10-01,95.89370429104687
2013-11-01,100.44330374479745
2013-12-01,100.47128874505391
2014-01-01,103.95300501475617
2014-02-01,111.40855126991264
2014-03-01,115.20024740578789
2014-04-01,118.86837515048087
2014-05-01,116.53047652967356
2014-06-01,111.96374211829904
2014-07-01,109.22660578243911
2014-08-01,98.97247389135427
2014-09-01,96.46024289665615
2014-10-01,94.59684811718896
2014-11-01,97.06012635584406
2014-12-01,98.7966277048874
2015-01-01,107.87030189362885
2015-02-01,111.2055546058024
2015-03-01,112.41864144883905
2015-04-01,114.71884183758492
2015-05-01,116.08728173274477
2015-06-01,113.5262531357887
2015-07-01,110.89346178338363
2015-08-01,107.77772493201469
2015-09-01,99.16856482870762
2015-10-01,95.07092375993626
2015-11-01,94.17565340069302
2015-12-01,102.68542292468761
2016-01-01,105.57411780937932
2016-02-01,111.41928547964064
2016-03-01,114.73606043972471
2016-04-01,117.06841822716723
2016-05-01,118.1922144994197
2016-06-01,112.7640971348907
2016-07-01,107.18273032592262
2016-08-01,100.47869249434848
2016-09-01,95.59038007274694
2016-10-01,96.67738418185334
2016-11-01,98.93218086051897
2016-12-01,106.28585982715978
2017-01-01,108.06054904294567
2017-02-01,114.81547902204605
2017-03-01,115.56166284076608
2017-04-01,115.58011246716595
2017-05-01,114.73002051337964
2017-06-01,111.59954787092857
2017-07-01,112.3569394648704
2017-08-01,101.50722664155126
2017-09-01,101.21672436962838
2017-10-01,96.44414564382595
2017-11-01,101.50289198790414
2017-12-01,104.11990193221179
2018-01-01,108.08672420468379
2018-02-01,113.36847494772914
2018-03-01,115.85067864698561
2018-04-01,119.44214440296416
2018-05-01,116.35028707716285
2018-06-01,111.19878847246554
2018-07-01,106.1441248513609
2018-08-01,104.09517583544434
2018-09-01,103.29792847497653
2018-10-01,99.16998322714687
2018-11-01,100.00246930993585
2018-12-01,104.52165227920509
2019-01-01,111.61200348341367
2019-02-01,114.48876500272763
2019-03-01,116.93839957617689
2019-04-01,121.36257742011978
2019-05-01,118.71776691476768
2019-06-01,117.32151198399207
2019-07-01,109.66646887444388
2019-08-01,101.9010619365589
2019-09-01,98.00342756366429
2019-10-01,102.7518558644625
2019-11-01,104.28707740372222
2019-12-01,104.19096157343473
2020-01-01,108.83362535772798
2020-02-01,117.57288858448439
2020-03-01,116.14616267375735
2020-04-01,117.96054596208835
2020-05-01,119.7469076272225
2020-06-01,114.06078975428098
2020-07-01,109.88975626655986
2020-08-01,104.62311420295096
2020-09-01,102.01489505975346
2020-10-01,102.86496372262744
2020-11-01,101.62091577595909
2020-12-01,106.43787758655372
2021-01-01,106.09965579793784
2021-02-01,115.1525631961397
2021-03-01,117.27379349725861
2021-04-01,117.91237387915274
2021-05-01,117.30394930398688
2021-06-01,114.78175311859835
2021-07-01,112.33180508471197
2021-08-01,102.89721456452091
2021-09-01,102.00100894734445
2021-10-01,99.68166113333285
2021-11-01,101.38439977343164
2021-12-01,107.75551565060915
2022-01-01,111.8762308740078
2022-02-01,118.52479621488534
2022-03-01,119.25124267934453
2022-04-01,119.5581147766586
2022-05-01,119.21253640408335
2022-06-01,116.53499358254247
2022-07-01,111.45314671690743
2022-08-01,103.98122385553326
2022-09-01,102.72072552541141
2022-10-01,101.70645666027781
2022-11-01,107.67469403722343
2022-12-01,110.1036892225632
2023-01-01,109.69351329888225
2023-02-01,115.87523327690158
2023-03-01,117.23337003417042
2023-04-01,120.36858597207302
2023-05-01,120.89146404502506
2023-06-01,119.06170724177645
2023-07-01,110.24183232451287
2023-08-01,105.44170711986445
2023-09-01,98.8451679026783
2023-10-01,101.52466815891017
2023-11-01,101.11491713843644
2023-12-01,105.89112114526779
